,A,B,C
0,12.51293813165738,38.5872481480257,20.550802561473237
1,2.463937276087591,57.392550037613745,98.18834091171989
2,39.354248900355714,89.76013696045817,32.65157942633632
3,92.68888676427504,26.191729530902276,47.98195161173874
4,13.374022138445707,81.53838054966222,15.150533398903343
5,49.94714494985598,14.234057551478429,6.36981308326503
6,3.872293218032652,40.247961670592304,80.24934687951801
7,94.61104295926583,92.66436014896311,69.28752823822931
8,12.433694950556884,28.24580239056267,1.171507220825907
9,97.41956290869072,1.75465674952191,95.6845787996981
10,99.19040514884735,45.710995547196696,10.140176541269952
11,67.74771132166853,40.75926348234871,64.23433565594225
12,6.299651182996346,59.97671799854528,25.576438909774012
13,1.2480053993054074,85.66452139027207,63.157060719298805
14,51.22079361619125,25.363791717118744,58.94689683851466
15,88.83039688701922,66.10638052317228,15.85040685226068
16,8.65911395579888,95.35301592982853,24.915282133603966
17,38.96728579036905,60.2491999408783,1.7096768940661589
18,57.03459181390399,63.712150845314355,99.38773485645828
19,35.52065897742115,56.053101647360826,38.67931250159353
20,87.32311890232188,91.52700094377414,47.131816938923656
21,99.58113922501502,14.62503802713757,27.268007872907084
22,86.11445811131856,5.136017225306588,92.58797428891452
23,32.74415377677666,24.438086635906963,38.71994809256106
24,25.830198880744604,32.1761261098389,16.704452429682526
25,32.0207936533342,65.76420276402038,21.582348123296736
26,65.6848877733682,94.22793617239932,18.238425786351765
27,65.31116201250605,21.673065638329557,19.24626444231121
28,48.7951949470346,63.21737329987005,64.8278118486818
29,8.430804807822101,31.27841426422675,65.28196161774795
30,16.295777270522528,0.2568482274101114,85.21770841730189
31,89.77907733415324,2.084256783067051,16.849322537022726
32,44.208198522121755,81.94504845676278,39.5186223118636
33,84.83092125452087,39.602562126188644,70.54500560979241
34,99.14413886407122,67.42218616019805,8.887176860789037
35,6.557866343110941,27.48950193603339,78.1456129415537
36,81.735480868509,98.29580718060478,93.60502386095266
37,97.40226454779472,14.277689976891395,46.235475652024085
38,67.75414409761369,96.52821289916292,78.75636617000733
39,25.15393141968155,48.6259498499654,24.897131610914936
40,56.50966837503795,36.02075159260693,85.23356501642115
41,41.47727281294544,65.09268878478119,58.77407150066799
42,18.81565228113542,41.49275098964065,13.515909698183526
43,0.3957138927713877,9.13627267461601,88.79644546651568
44,80.10982568057543,36.850485288033376,21.25957779499661
45,83.43935316655808,52.67145197608464,8.820658241098844
46,44.80147321696507,5.490394890236205,32.322443265604115
47,42.67643601194907,66.61017858363093,8.824425551317482
48,74.35560194814248,92.67656735695982,9.321345183561046
49,74.44860567372046,16.04680552084574,33.45061435261796
50,16.09590414968799,55.94601832985773,12.079212822709529
51,79.0526813181516,40.15840672163415,2.9549105067660064
52,99.4248603408141,54.67811978989134,30.1344722423159
53,47.87500038810257,42.251889438843385,82.238133266355
54,17.482233618929,39.33283322544814,99.18787385526365
55,58.081056826572755,72.54945118124257,45.34904824025225
56,84.52820741852089,57.28658532427825,32.35352656027681
57,31.485848533837167,55.7061087290759,40.55757046741658
58,99.06607133216842,1.3122251549313457,23.45756582540356
59,21.999507146122575,1.53525821513405,58.177815465507955
60,35.976376546713816,34.76778884051775,71.8408469820801
61,2.6829930665935864,33.74961144196327,5.144032119250164
62,13.759569003327488,55.23270460141404,18.116582944967586
63,85.20266860535261,54.03480077016081,1.04085444213462
64,20.408208235763205,43.3132085977998,28.92010552781903
65,32.13275150165812,37.832032542037716,92.23215610134075
66,71.01454600280405,5.534617852895174,26.615230881839437
67,8.053049746915718,73.7234071565737,95.3490933950359
68,1.300629098623296,47.44027056389507,39.88613214921723
69,40.36710300816798,29.984735215918544,62.234611880525314
70,48.04468801597057,96.77605896426459,20.60541397833725
71,69.85075650317918,5.71684248621116,90.63472465060191
72,49.225203728960196,27.56297453393025,96.8598833746793
73,34.43044055742439,94.10699226409048,26.65827800880769
74,44.06589553626793,51.49443350140411,19.878472870211226
75,75.93394850725494,45.71135593190302,68.9158857075157
76,50.101865214820684,25.552975475928474,75.33095933940955
77,57.896471238616186,16.03083557482441,14.676975919972168
78,28.513701586972328,40.1486522178637,19.076062238989234
79,45.119584854061365,35.60581479953423,34.742011121052585
80,50.267681754940355,68.51914622293862,34.333118582237454
81,42.425947070043456,15.129738890808852,1.660916297167181
82,8.880351361191263,96.89553187350192,66.61509420798801
83,79.52770868033346,40.99700446377743,66.0672471962131
84,47.51656704615147,53.1625182447924,71.37093506391146
85,49.53834454802689,36.129802350654415,97.0172682062828
86,40.57415095556617,41.84404186335103,6.97560608414205
87,45.08921733286525,2.2456123113137716,76.24189267979399
88,38.92225662604878,17.9798135939909,13.0924403669873
89,53.185767314039346,73.53836845397205,16.732008842650647
90,65.93976244841475,55.71660178898015,77.46910038524616
91,18.16256242345148,58.42708558319328,81.04707446398332
92,48.434228697764304,15.311089932127109,3.8714684202947103
93,53.54831539504852,50.61984096340977,74.21207123560976
94,47.95033032697883,84.58670186955007,37.33283244577542
95,23.622987625986593,50.08892219388671,49.62094454795509
96,79.84900236404405,43.44851653320531,84.39228117661602
97,94.36302534859576,78.15272401279839,88.9209163832977
98,77.83635714321522,88.61797941740498,50.23893503737317
99,24.77825868467528,2.368187199813432,82.62681611027149
